,Size,Watchers
1,1197,4
2,4405,11
3,118,146
4,213,9
5,113,60
6,9252,0
7,20170,0
8,389,4
9,126,1
10,3729,1
11,84,7
12,5324,2
13,163,1
14,1848,1
15,202,11
16,6668,1
17,102,3
18,1424,5
19,5,0
20,356,2
21,133,0
22,10299,58
23,957,7
24,148,7
25,80804,1
26,48,1
27,244,1
28,1239,1
29,87,4
30,76,21
31,132,7
32,1415,0
33,3124,0
34,84,4
35,89,8
36,965,0
37,102,0
38,13346,0
39,12364,0
40,11612,1
41,116,1
42,20,1
43,0,0
44,76,1
45,1493,0
46,193,0
47,426,0
48,469,2
49,1570,1
50,75,0
51,1,0
52,100,4
53,39,0
54,0,2
55,112,5
56,3168,0
57,33,0
58,1141,1565
59,8029,0
60,3484,0
61,555,1
62,296,5
63,2844,1
64,200,0
65,2033,0
66,75530,0
67,222,1
68,287,22
69,90,1
70,193,2
71,126,11
72,1,0
73,121,2
74,5365,1
75,264,0
76,186,157
77,12945,0
78,80,1
79,186,1
80,419,0
81,65,0
82,307,0
83,36531,0
84,590,2
85,308,3
86,85,18
87,1534,0
88,5024,1
89,80,7
90,96,0
91,103,1
92,79,0
93,112,0
94,96,0
95,18,11
96,363,53
97,81,1
98,466372,0
99,1197,4
100,4405,11
101,118,146
102,213,9
103,113,60
104,9252,0
105,20170,0
106,389,4
107,126,1
108,3729,1
109,84,7
110,5324,2
111,163,1
112,1848,1
113,202,11
114,6668,1
115,102,3
116,1424,5
117,5,0
118,356,2
119,133,0
120,10299,58
121,957,7
122,148,7
123,80804,1
124,48,1
125,244,1
126,1239,1
127,87,4
128,76,21
129,132,7
130,1415,0
131,3124,0
132,84,4
133,89,8
134,965,0
135,102,0
136,13346,0
137,12364,0
138,11612,1
139,116,1
140,20,1
141,0,0
142,76,1
143,1493,0
144,193,0
145,426,0
146,469,2
147,1570,1
148,75,0
149,1,0
150,100,4
151,39,0
152,0,2
153,112,5
154,3168,0
155,33,0
156,1141,1565
157,8029,0
158,3484,0
159,555,1
160,296,5
161,2844,1
162,200,0
163,2033,0
164,75530,0
165,222,1
166,287,22
167,90,1
168,193,2
169,126,11
170,1,0
171,121,2
172,5365,1
173,264,0
174,186,157
175,12945,0
176,80,1
177,186,1
178,419,0
179,65,0
180,307,0
181,36531,0
182,590,2
183,308,3
184,85,18
185,1534,0
186,5024,1
187,80,7
188,96,0
189,103,1
190,79,0
191,112,0
192,96,0
193,18,11
194,363,53
195,81,1
196,466372,0
197,1197,4
198,4405,11
199,118,146
200,213,9
201,113,60
202,9252,0
203,20170,0
204,389,4
205,126,1
206,3729,1
207,84,7
208,5324,2
209,163,1
210,1848,1
211,202,11
212,6668,1
213,102,3
214,1424,5
215,5,0
216,356,2
217,133,0
218,10299,58
219,957,7
220,148,7
221,80804,1
222,48,1
223,244,1
224,1239,1
225,87,4
226,76,21
227,132,7
228,1415,0
229,3124,0
230,84,4
231,89,8
232,965,0
233,102,0
234,13346,0
235,12364,0
236,11612,1
237,116,1
238,20,1
239,0,0
240,76,1
241,1493,0
242,193,0
243,426,0
244,469,2
245,1570,1
246,75,0
247,1,0
248,100,4
249,39,0
250,0,2
251,112,5
252,3168,0
253,33,0
254,1141,1565
255,8029,0
256,3484,0
257,555,1
258,296,5
259,2844,1
260,200,0
261,2033,0
262,75530,0
263,222,1
264,287,22
265,90,1
266,193,2
267,126,11
268,1,0
269,121,2
270,5365,1
271,264,0
272,186,157
273,12945,0
274,80,1
275,186,1
276,419,0
277,65,0
278,307,0
279,36531,0
280,590,2
281,308,3
282,85,18
283,1534,0
284,5024,1
