"","namelist","followerlist","followinglist","publicRepos","dataTypeList","dataCreatedAt","dataUpdatedAt","dataLocation"
"1",mojombo,20662,11,59,User,2007-10-20T05:24:19Z,2017-11-27T22:24:39Z,San Francisco
"2",defunkt,16613,208,107,User,2007-10-20T05:24:19Z,2017-11-13T21:21:14Z,San Francisco
"3",pjhyett,8192,30,8,User,2008-01-07T17:54:22Z,2017-09-16T09:14:41Z,San Francisco
"4",wycats,8600,4,201,User,2008-01-12T05:38:33Z,2017-12-13T19:58:31Z,San Francisco
"5",ezmobius,472,13,22,User,2008-01-12T07:51:46Z,2017-11-23T04:09:37Z,In the NW
"6",ivey,76,2,86,User,2008-01-12T15:15:00Z,2017-11-23T04:09:37Z,Bay Minette, AL
"7",evanphx,1095,5,130,User,2008-01-12T16:46:24Z,2017-12-13T00:37:11Z,Los Angeles, CA
"8",vanpelt,62,14,40,User,2008-01-13T05:57:18Z,2017-12-08T21:04:18Z,San Francisco
"9",wayneeseguin,670,16,97,User,2008-01-13T06:02:21Z,2017-12-11T16:56:17Z,Buffalo, NY
"10",brynary,576,27,163,User,2008-01-13T10:19:47Z,2017-12-04T01:08:53Z,New York City
"11",kevinclark,80,4,21,User,2008-01-13T18:33:26Z,2017-08-22T10:04:53Z,Louisville, CO
"12",technoweenie,2404,17,165,User,2008-01-14T04:33:35Z,2017-12-04T18:12:26Z,Montreal, QC, Canada
"13",macournoyer,939,51,55,User,2008-01-14T10:49:35Z,2017-12-05T15:47:04Z,Portland, OR
"14",takeo,66,11,19,User,2008-01-14T11:25:49Z,2017-11-28T17:44:24Z,Portland, OR
"15",Caged,1581,32,104,User,2008-01-15T04:47:24Z,2017-12-14T18:54:46Z,Seattle, USA
"16",topfunky,1159,206,87,User,2008-01-15T05:40:05Z,2017-12-01T23:55:53Z,San Francisco, CA
"17",anotherjesse,137,31,83,User,2008-01-15T07:49:30Z,2017-11-11T05:48:36Z,Bloomington, IN
"18",roland,10,1,7,User,2008-01-15T08:12:51Z,2017-08-16T21:18:10Z,San Francisco
"19",lukas,114,5,9,User,2008-01-15T12:50:02Z,2017-12-14T06:34:44Z,Amsterdam
"20",fanvsfan,11,0,0,User,2008-01-15T14:15:23Z,2015-04-09T19:38:43Z,Broomfield, CO
"21",tomtt,25,12,70,User,2008-01-15T15:44:31Z,2017-11-22T12:25:07Z,San Francisco, CA
"22",railsjitsu,9,0,0,User,2008-01-16T04:57:23Z,2015-04-09T19:38:43Z,New York
"23",nitay,32,0,34,User,2008-01-18T14:09:11Z,2017-12-05T01:45:56Z,South Lake Tahoe
"24",kevwil,32,21,36,User,2008-01-19T05:50:12Z,2017-11-21T15:33:59Z,Bend, OR
