,Size
1,1197
2,4405
3,118
4,213
5,113
6,9252
7,20170
8,389
9,126
10,3729
11,84
12,5324
13,163
14,1848
15,202
16,6668
17,102
18,1424
19,5
20,356
21,133
22,10299
23,957
24,148
25,80804
26,48
27,244
28,1239
29,87
30,76
31,132
32,1415
33,3124
34,84
35,89
36,965
37,102
38,13346
39,12364
40,11612
41,116
42,20
43,0
44,76
45,1493
46,193
47,426
48,469
49,1570
50,75
51,1
52,100
53,39
54,0
55,112
56,3168
57,33
58,1141
59,8029
60,3484
61,555
62,296
63,2844
64,200
65,2033
66,75530
67,222
68,287
69,90
70,193
71,126
72,1
73,121
74,5365
75,264
76,186
77,12945
78,80
79,186
80,419
81,65
82,307
83,36531
84,590
85,308
86,85
87,1534
88,5024
89,80
90,96
91,103
92,79
93,112
94,96
95,18
96,363
97,81
98,466372
99,1197
100,4405
101,118
102,213
103,113
104,9252
105,20170
106,389
107,126
108,3729
109,84
110,5324
111,163
112,1848
113,202
114,6668
115,102
116,1424
117,5
118,356
119,133
120,10299
121,957
122,148
123,80804
124,48
125,244
126,1239
127,87
128,76
129,132
130,1415
131,3124
132,84
133,89
134,965
135,102
136,13346
137,12364
138,11612
139,116
140,20
141,0
142,76
143,1493
144,193
145,426
146,469
147,1570
148,75
149,1
150,100
151,39
152,0
153,112
154,3168
155,33
156,1141
157,8029
158,3484
159,555
160,296
161,2844
162,200
163,2033
164,75530
165,222
166,287
167,90
168,193
169,126
170,1
171,121
172,5365
173,264
174,186
175,12945
176,80
177,186
178,419
179,65
180,307
181,36531
182,590
183,308
184,85
185,1534
186,5024
187,80
188,96
189,103
190,79
191,112
192,96
193,18
194,363
195,81
196,466372
197,1197
198,4405
199,118
200,213
201,113
202,9252
203,20170
204,389
205,126
206,3729
207,84
208,5324
209,163
210,1848
211,202
212,6668
213,102
214,1424
215,5
216,356
217,133
218,10299
219,957
220,148
221,80804
222,48
223,244
224,1239
225,87
226,76
227,132
228,1415
229,3124
230,84
231,89
232,965
233,102
234,13346
235,12364
236,11612
237,116
238,20
239,0
240,76
241,1493
242,193
243,426
244,469
245,1570
246,75
247,1
248,100
249,39
250,0
251,112
252,3168
253,33
254,1141
255,8029
256,3484
257,555
258,296
259,2844
260,200
261,2033
262,75530
263,222
264,287
265,90
266,193
267,126
268,1
269,121
270,5365
271,264
272,186
273,12945
274,80
275,186
276,419
277,65
278,307
279,36531
280,590
281,308
282,85
283,1534
284,5024
285,80
286,96
287,103
288,79
289,112
290,96
291,18
292,363
293,81
294,466372
295,1197
296,4405
297,118
298,213
299,113
300,9252
301,20170
302,389
303,126
304,3729
305,84
306,5324
307,163
308,1848
309,202
310,6668
311,102
312,1424
313,5
314,356
315,133
316,10299
317,957
318,148
319,80804
320,48
321,244
322,1239
323,87
324,76
325,132
326,1415
327,3124
328,84
329,89
330,965
331,102
332,13346
333,12364
334,11612
335,116
336,20
337,0
338,76
339,1493
340,193
341,426
342,469
343,1570
344,75
345,1
346,100
347,39
348,0
349,112
350,3168
351,33
352,1141
353,8029
354,3484
355,555
356,296
357,2844
358,200
359,2033
360,75530
361,222
362,287
363,90
364,193
365,126
366,1
367,121
368,5365
369,264
370,186
371,12945
372,80
373,186
374,419
375,65
376,307
377,36531
378,590
379,308
380,85
381,1534
382,5024
383,80
384,96
385,103
386,79
387,112
388,96
389,18
390,363
391,81
392,466372
393,1197
394,4405
395,118
396,213
397,113
398,9252
399,20170
400,389
401,126
402,3729
403,84
404,5324
405,163
406,1848
407,202
408,6668
409,102
410,1424
411,5
412,356
413,133
414,10299
415,957
416,148
417,80804
418,48
419,244
420,1239
421,87
422,76
423,132
424,1415
425,3124
426,84
427,89
428,965
429,102
430,13346
431,12364
432,11612
433,116
434,20
435,0
436,76
437,1493
438,193
439,426
440,469
441,1570
442,75
443,1
444,100
445,39
446,0
447,112
448,3168
449,33
450,1141
451,8029
452,3484
453,555
454,296
455,2844
456,200
457,2033
458,75530
459,222
460,287
461,90
462,193
463,126
464,1
465,121
466,5365
467,264
468,186
469,12945
470,80
471,186
472,419
473,65
474,307
475,36531
476,590
477,308
478,85
479,1534
480,5024
481,80
482,96
483,103
484,79
485,112
486,96
487,18
488,363
489,81
490,466372
491,1197
492,4405
493,118
494,213
495,113
496,9252
497,20170
498,389
499,126
500,3729
501,84
502,5324
503,163
504,1848
505,202
506,6668
507,102
508,1424
509,5
510,356
511,133
512,10299
513,957
514,148
515,80804
516,48
517,244
518,1239
519,87
520,76
521,132
522,1415
523,3124
524,84
525,89
526,965
527,102
528,13346
529,12364
530,11612
531,116
532,20
533,0
534,76
535,1493
536,193
537,426
538,469
539,1570
540,75
541,1
542,100
543,39
544,0
545,112
546,3168
547,33
548,1141
549,8029
550,3484
551,555
552,296
553,2844
554,200
555,2033
556,75530
557,222
558,287
559,90
560,193
561,126
562,1
563,121
564,5365
565,264
